csv_id,year_start,year_end,loc_abbrev,loc_desc,source,class,topic,question,response,data_value_unit,data_value_type_id,data_value_type,data_value,data_value_alt,data_value_footnote_symbol,data_value_footnote,low_confidence_limit,high_confidence_limit,sample_size,strat_cat_1,strat1,strat_cat_2,strat2,strat_cat_3,strat3,geolocation,class_id,topic_id,question_id,response_id,location_id,strat_cat_id_1,strat_id_1,strat_cat_id_2,strat_id_2,strat_cat_id_3,strat_id_3,report,id
,2018,2018,AL,Alabama,BRFSS,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,,,POINT (-86.63186076 32.84057112),C04,TAC01,Q17,,01,AGE,AGE_OVERALL,RACE,NAA,,,,133
,2017,2017,AZ,Arizona,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,11.3,11.3,,,7.1,17.4,,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,,,POINT (-111.7638113 34.86597028),C05,TMC03,Q27,,04,AGE,5064,RACE,NAA,,,,134
,2015,2020,AL,Alabama,BRFSS,Caregiving,Provide care for someone with cognitive impairment within the past month,Percentage of older adults who provided care for someone with dementia or other cognitive impairment within the past month,,%,PRCTG,Percentage,,,~,No Data Available,,,,Age Group,65 years or older,Race/Ethnicity,Hispanic,,,POINT (-86.63186076 32.84057112),C07,TGC05,Q40,,01,AGE,65PLUS,RACE,HIS,,,,135
,2020,2020,AK,Alaska,BRFSS,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,50-64 years,Race/Ethnicity,Asian/Pacific Islander,,,POINT (-147.722059 64.84507996),C04,TAC03,Q21,,02,AGE,5064,RACE,ASN,,,,136
,2016,2016,AK,Alaska,BRFSS,Screenings and Vaccines,Diabetes screening within past 3 years,Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years,,%,PRCTG,Percentage,70.9,70.9,,,64,76.9,,Age Group,65 years or older,Gender,Female,,,POINT (-147.722059 64.84507996),C03,TSC04,Q19,,02,AGE,65PLUS,GENDER,FEMALE,,,,137
,2015,2020,AK,Alaska,BRFSS,Caregiving,Intensity of caregiving among older adults,Average of 20 or more hours of care per week provided to a friend or family member,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,50-64 years,Race/Ethnicity,Hispanic,,,POINT (-147.722059 64.84507996),C07,TGC04,Q39,,02,AGE,5064,RACE,HIS,,,,138
,2016,2016,AZ,Arizona,BRFSS,Overall Health,Prevalence of sufficient sleep,Percentage of older adults getting sufficient sleep (>6 hours),,%,PRCTG,Percentage,70.4,70.4,,,68.8,72,,Age Group,Overall,,,,,POINT (-111.7638113 34.86597028),C01,TOC09,Q34,,04,AGE,AGE_OVERALL,OVERALL,OVERALL,,,,139
,2018,2018,AZ,Arizona,BRFSS,Overall Health,Prevalence of sufficient sleep,Percentage of older adults getting sufficient sleep (>6 hours),,%,PRCTG,Percentage,64.9,64.9,,,61,68.7,,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",,,POINT (-111.7638113 34.86597028),C01,TOC09,Q34,,04,AGE,5064,RACE,WHT,,,,140
,2016,2016,AL,Alabama,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,19.2,19.2,,,15.5,23.6,,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic",,,POINT (-86.63186076 32.84057112),C05,TMC03,Q27,,01,AGE,5064,RACE,BLK,,,,141
,2018,2018,AZ,Arizona,BRFSS,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,,%,PRCTG,Percentage,37.0,37.0,,,28.1,46.8,,Age Group,50-64 years,Race/Ethnicity,Hispanic,,,POINT (-111.7638113 34.86597028),C03,TSC08,Q18,,04,AGE,5064,RACE,HIS,,,,142
,2020,2020,AL,Alabama,BRFSS,Overall Health,Physically unhealthy days (mean number of days),Physically unhealthy days (mean number of days in past month),,Number,MEAN,Mean,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,,,POINT (-86.63186076 32.84057112),C01,TOC01,Q08,,01,AGE,5064,RACE,NAA,,,,143
,2017,2017,AL,Alabama,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,,,~,No Data Available,,,,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,,,POINT (-86.63186076 32.84057112),C05,TMC03,Q27,,01,AGE,65PLUS,RACE,ASN,,,,144
,2016,2016,AZ,Arizona,BRFSS,Screenings and Vaccines,Mammogram within past 2 years,Percentage of older adult women who have received a mammogram within the past 2 years,,%,PRCTG,Percentage,71.1,71.1,,,67.6,74.4,,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",,,POINT (-111.7638113 34.86597028),C03,TSC01,Q12,,04,AGE,5064,RACE,WHT,,,,145
,2015,2015,AL,Alabama,BRFSS,Overall Health,Severe joint pain among older adults with arthritis,Severe joint pain due to arthritis among older adults with doctor-diagnosed arthritis,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,Overall,Race/Ethnicity,Hispanic,,,POINT (-86.63186076 32.84057112),C01,TOC12,Q44,,01,AGE,AGE_OVERALL,RACE,HIS,,,,146
,2017,2017,AL,Alabama,BRFSS,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,,%,PRCTG,Percentage,51.4,51.4,,,49.4,53.3,,Age Group,Overall,,,,,POINT (-86.63186076 32.84057112),C03,TSC08,Q18,,01,AGE,AGE_OVERALL,OVERALL,OVERALL,,,,147
,2019,2019,AK,Alaska,BRFSS,Screenings and Vaccines,High blood pressure ever,Percentage of older adults who have ever been told by a health professional that they have high blood pressure,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,50-64 years,Race/Ethnicity,Hispanic,,,POINT (-147.722059 64.84507996),C03,TSC07,Q22,,02,AGE,5064,RACE,HIS,,,,148
,2017,2017,AK,Alaska,BRFSS,Screenings and Vaccines,Cholesterol checked in past 5 years,Percentage of older adults who had a cholesterol screening within the past 5 years,,%,PRCTG,Percentage,94.3,94.3,,,91.7,96.1,,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",,,POINT (-147.722059 64.84507996),C03,TSC06,Q14,,02,AGE,65PLUS,RACE,WHT,,,,149
,2016,2016,AL,Alabama,BRFSS,Screenings and Vaccines,Diabetes screening within past 3 years,Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years,,%,PRCTG,Percentage,63.3,63.3,,,57.1,69.1,,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic",,,POINT (-86.63186076 32.84057112),C03,TSC04,Q19,,01,AGE,5064,RACE,BLK,,,,150
,2016,2016,AL,Alabama,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,%,PRCTG,Percentage,16.8,16.8,,,14.9,18.9,,Age Group,50-64 years,,,,,POINT (-86.63186076 32.84057112),C05,TMC01,Q03,,01,AGE,5064,OVERALL,OVERALL,,,,151
,2020,2020,AZ,Arizona,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,24.7,24.7,,,15.1,37.8,,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic",,,POINT (-111.7638113 34.86597028),C01,TOC11,Q43,,04,AGE,5064,RACE,BLK,,,,152
,2019,2019,AK,Alaska,BRFSS,Overall Health,Self-rated health (good to excellent health),"Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""",,%,PRCTG,Percentage,81.1,81.1,,,78.1,83.7,,Age Group,Overall,,,,,POINT (-147.722059 64.84507996),C01,TOC08,Q33,,02,AGE,AGE_OVERALL,OVERALL,OVERALL,,,,153
,2015,2015,AL,Alabama,BRFSS,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,,%,PRCTG,Percentage,17.3,17.3,,,15.9,18.8,,Age Group,Overall,,,,,POINT (-86.63186076 32.84057112),C04,TAC01,Q17,,01,AGE,AGE_OVERALL,OVERALL,OVERALL,,,,154
,2015,2015,AK,Alaska,BRFSS,Mental Health,Frequent mental distress,Percentage of older adults who are experiencing frequent mental distress,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,50-64 years,Race/Ethnicity,Hispanic,,,POINT (-147.722059 64.84507996),C05,TMC01,Q03,,02,AGE,5064,RACE,HIS,,,,155
,2019,2019,AZ,Arizona,BRFSS,Nutrition/Physical Activity/Obesity,Eating 3 or more vegetables daily,Percentage of older adults who are eating 3 or more vegetables daily,,%,PRCTG,Percentage,16.3,16.3,,,14.6,18.3,,Age Group,Overall,,,,,POINT (-111.7638113 34.86597028),C02,TNC02,Q02,,04,AGE,AGE_OVERALL,OVERALL,OVERALL,,,,156
,2017,2017,AZ,Arizona,BRFSS,Overall Health,Severe joint pain among older adults with arthritis,Severe joint pain due to arthritis among older adults with doctor-diagnosed arthritis,,%,PRCTG,Percentage,24.6,24.6,,,22.9,26.5,,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic",,,POINT (-111.7638113 34.86597028),C01,TOC12,Q44,,04,AGE,AGE_OVERALL,RACE,WHT,,,,157
,2015,2020,AZ,Arizona,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,,%,PRCTG,Percentage,56.6,56.6,,,43.1,69.2,,Age Group,50-64 years,Gender,Female,,,POINT (-111.7638113 34.86597028),C06,TCC04,Q42,,04,AGE,5064,GENDER,FEMALE,,,,158
,2016,2016,AK,Alaska,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,,,POINT (-147.722059 64.84507996),C06,TCC03,Q41,,02,AGE,5064,RACE,NAA,,,,159
,2020,2020,AZ,Arizona,BRFSS,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,,%,PRCTG,Percentage,28.1,28.1,,,17,42.8,,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic",,,POINT (-111.7638113 34.86597028),C03,TSC08,Q18,,04,AGE,5064,RACE,BLK,,,,160
,2017,2017,AK,Alaska,BRFSS,Screenings and Vaccines,Diabetes screening within past 3 years,Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years,,%,PRCTG,Percentage,71.6,71.6,,,66.8,76,,Age Group,65 years or older,,,,,POINT (-147.722059 64.84507996),C03,TSC04,Q19,,02,AGE,65PLUS,OVERALL,OVERALL,,,,161
,2016,2016,AL,Alabama,BRFSS,Overall Health,Physically unhealthy days (mean number of days),Physically unhealthy days (mean number of days in past month),,Number,MEAN,Mean,6.4,6.4,,,5.9,6.8,,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic",,,POINT (-86.63186076 32.84057112),C01,TOC01,Q08,,01,AGE,AGE_OVERALL,RACE,WHT,,,,162
,2017,2017,AK,Alaska,BRFSS,Overall Health,Self-rated health (fair to poor health),"Percentage of older adults who self-reported that their health is ""fair"" or ""poor""",,%,PRCTG,Percentage,17.6,17.6,,,14.9,20.7,,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic",,,POINT (-147.722059 64.84507996),C01,TOC07,Q32,,02,AGE,AGE_OVERALL,RACE,WHT,,,,163
,2015,2015,AL,Alabama,BRFSS,Caregiving,Intensity of caregiving among older adults,Average of 20 or more hours of care per week provided to a friend or family member,,%,PRCTG,Percentage,33.5,33.5,,,27.7,39.8,,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",,,POINT (-86.63186076 32.84057112),C07,TGC04,Q39,,01,AGE,65PLUS,RACE,WHT,,,,164
,2019,2019,AZ,Arizona,BRFSS,Nutrition/Physical Activity/Obesity,Obesity,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",,%,PRCTG,Percentage,39.2,39.2,,,35.7,42.8,,Age Group,50-64 years,,,,,POINT (-111.7638113 34.86597028),C02,TNC04,Q13,,04,AGE,5064,OVERALL,OVERALL,,,,165
,2020,2020,AZ,Arizona,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,50-64 years,Race/Ethnicity,Hispanic,,,POINT (-111.7638113 34.86597028),C06,TCC02,Q31,,04,AGE,5064,RACE,HIS,,,,166
,2017,2017,AL,Alabama,BRFSS,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,,%,PRCTG,Percentage,58.5,58.5,,,55.4,61.5,,Age Group,65 years or older,Gender,Female,,,POINT (-86.63186076 32.84057112),C03,TSC08,Q18,,01,AGE,65PLUS,GENDER,FEMALE,,,,167
,2016,2016,AK,Alaska,BRFSS,Overall Health,Oral health:  tooth retention,Percentage of older adults who report having lost 5 or fewer teeth due to decay or gum disease,,%,PRCTG,Percentage,65.2,65.2,,,57.8,72,,Age Group,65 years or older,Gender,Female,,,POINT (-147.722059 64.84507996),C01,TOC05,Q07,,02,AGE,65PLUS,GENDER,FEMALE,,,,168
,2020,2020,AK,Alaska,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,,,POINT (-147.722059 64.84507996),C01,TOC11,Q43,,02,AGE,AGE_OVERALL,RACE,ASN,,,,169
,2017,2017,AK,Alaska,BRFSS,Overall Health,Physically unhealthy days (mean number of days),Physically unhealthy days (mean number of days in past month),,Number,MEAN,Mean,6.8,6.8,,,3.6,10,,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,,,POINT (-147.722059 64.84507996),C01,TOC01,Q08,,02,AGE,65PLUS,RACE,NAA,,,,170
,2017,2017,AZ,Arizona,BRFSS,Nutrition/Physical Activity/Obesity,Eating 2 or more fruits daily,Percentage of older adults who are eating 2 or more fruits daily,,%,PRCTG,Percentage,30.2,30.2,,,28.2,32.2,,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",,,POINT (-111.7638113 34.86597028),C02,TNC01,Q01,,04,AGE,5064,RACE,WHT,,,,171
,2015,2020,AZ,Arizona,BRFSS,Caregiving,Provide care for someone with cognitive impairment within the past month,Percentage of older adults who provided care for someone with dementia or other cognitive impairment within the past month,,%,PRCTG,Percentage,11.2,11.2,,,7,17.5,,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",,,POINT (-111.7638113 34.86597028),C07,TGC05,Q40,,04,AGE,5064,RACE,WHT,,,,172
,2015,2015,AZ,Arizona,BRFSS,Mental Health,Lifetime diagnosis of depression,Percentage of older adults with a lifetime diagnosis of depression,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,,,POINT (-111.7638113 34.86597028),C05,TMC03,Q27,,04,AGE,65PLUS,RACE,NAA,,,,173
,2018,2018,AK,Alaska,BRFSS,Nutrition/Physical Activity/Obesity,Obesity,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,Overall,Race/Ethnicity,Hispanic,,,POINT (-147.722059 64.84507996),C02,TNC04,Q13,,02,AGE,AGE_OVERALL,RACE,HIS,,,,174
,2020,2020,AK,Alaska,BRFSS,Overall Health,Fall with injury within last year,Percentage of older adults who have fallen and sustained an injury within last year,,%,PRCTG,Percentage,8.7,8.7,,,5.6,13.2,,Age Group,50-64 years,Gender,Male,,,POINT (-147.722059 64.84507996),C01,TOC06,Q05,,02,AGE,5064,GENDER,MALE,,,,175
,2020,2020,AZ,Arizona,BRFSS,Screenings and Vaccines,Mammogram within past 2 years,Percentage of older adult women who have received a mammogram within the past 2 years,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,,,POINT (-111.7638113 34.86597028),C03,TSC01,Q12,,04,AGE,AGE_OVERALL,RACE,ASN,,,,176
,2020,2020,AK,Alaska,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",,,POINT (-147.722059 64.84507996),C06,TCC01,Q30,,02,AGE,65PLUS,RACE,BLK,,,,177
,2017,2017,AL,Alabama,BRFSS,Nutrition/Physical Activity/Obesity,Obesity,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,,,POINT (-86.63186076 32.84057112),C02,TNC04,Q13,,01,AGE,AGE_OVERALL,RACE,ASN,,,,178
,2018,2018,AL,Alabama,BRFSS,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,,%,PRCTG,Percentage,13.2,13.2,,,10.5,16.5,,Age Group,50-64 years,Gender,Male,,,POINT (-86.63186076 32.84057112),C04,TAC03,Q21,,01,AGE,5064,GENDER,MALE,,,,179
,2015,2015,AL,Alabama,BRFSS,Smoking and Alcohol Use,Current smoking,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,,%,PRCTG,Percentage,16.7,16.7,,,14.9,18.6,,Age Group,Overall,Gender,Female,,,POINT (-86.63186076 32.84057112),C04,TAC01,Q17,,01,AGE,AGE_OVERALL,GENDER,FEMALE,,,,180
,2018,2018,AZ,Arizona,BRFSS,Screenings and Vaccines,Ever had pneumococcal vaccine,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",,%,PRCTG,Percentage,76.4,76.4,,,72.7,79.7,,Age Group,65 years or older,Gender,Female,,,POINT (-111.7638113 34.86597028),C03,TSC09,Q09,,04,AGE,65PLUS,GENDER,FEMALE,,,,181
,2015,2015,AL,Alabama,BRFSS,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,,%,PRCTG,Percentage,9.3,9.3,,,7.9,11,,Age Group,50-64 years,,,,,POINT (-86.63186076 32.84057112),C04,TAC03,Q21,,01,AGE,5064,OVERALL,OVERALL,,,,182
,2016,2016,AK,Alaska,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,50-64 years,Race/Ethnicity,Hispanic,,,POINT (-147.722059 64.84507996),C06,TCC04,Q42,,02,AGE,5064,RACE,HIS,,,,183
,2020,2020,AK,Alaska,BRFSS,Nutrition/Physical Activity/Obesity,No leisure-time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,,%,PRCTG,Percentage,21.1,21.1,,,17.8,24.8,,Age Group,Overall,Gender,Male,,,POINT (-147.722059 64.84507996),C02,TNC03,Q16,,02,AGE,AGE_OVERALL,GENDER,MALE,,,,184
,2020,2020,AK,Alaska,BRFSS,Overall Health,Self-rated health (fair to poor health),"Percentage of older adults who self-reported that their health is ""fair"" or ""poor""",,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,Overall,Race/Ethnicity,Hispanic,,,POINT (-147.722059 64.84507996),C01,TOC07,Q32,,02,AGE,AGE_OVERALL,RACE,HIS,,,,185
,2020,2020,AL,Alabama,BRFSS,Overall Health,Prevalence of sufficient sleep,Percentage of older adults getting sufficient sleep (>6 hours),,%,PRCTG,Percentage,,,~,No Data Available,,,,Age Group,65 years or older,Race/Ethnicity,Hispanic,,,POINT (-86.63186076 32.84057112),C01,TOC09,Q34,,01,AGE,65PLUS,RACE,HIS,,,,186
,2019,2019,AK,Alaska,BRFSS,Overall Health,Self-rated health (good to excellent health),"Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""",,%,PRCTG,Percentage,82.8,82.8,,,78.9,86.1,,Age Group,50-64 years,,,,,POINT (-147.722059 64.84507996),C01,TOC08,Q33,,02,AGE,5064,OVERALL,OVERALL,,,,187
,2020,2020,AK,Alaska,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Women,Percentage of older adult women who are up to date with select clinical preventive services,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,50-64 years,Race/Ethnicity,Asian/Pacific Islander,,,POINT (-147.722059 64.84507996),C03,TSC11,Q11,,02,AGE,5064,RACE,ASN,,,,188
,2016,2016,AL,Alabama,BRFSS,Overall Health,Oral health:  tooth retention,Percentage of older adults who report having lost 5 or fewer teeth due to decay or gum disease,,%,PRCTG,Percentage,69.1,69.1,,,66.5,71.5,,Age Group,50-64 years,,,,,POINT (-86.63186076 32.84057112),C01,TOC05,Q07,,01,AGE,5064,OVERALL,OVERALL,,,,189
,2015,2015,AK,Alaska,BRFSS,Overall Health,Severe joint pain among older adults with arthritis,Severe joint pain due to arthritis among older adults with doctor-diagnosed arthritis,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,Overall,Gender,Female,,,POINT (-147.722059 64.84507996),C01,TOC12,Q44,,02,AGE,AGE_OVERALL,GENDER,FEMALE,,,,190
,2019,2019,AL,Alabama,BRFSS,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,,%,PRCTG,Percentage,,,~,No Data Available,,,,Age Group,Overall,Race/Ethnicity,Hispanic,,,POINT (-86.63186076 32.84057112),C04,TAC03,Q21,,01,AGE,AGE_OVERALL,RACE,HIS,,,,191
,2018,2018,AZ,Arizona,BRFSS,Screenings and Vaccines,Colorectal cancer screening,Percentage of older adults who had either a home blood stool test within the past year or a sigmoidoscopy or colonoscopy within the past 10 years,,%,PRCTG,Percentage,76.6,76.6,,,73.9,79,,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",,,POINT (-111.7638113 34.86597028),C03,TSC02,Q15,,04,AGE,65PLUS,RACE,WHT,,,,192
,2015,2015,AZ,Arizona,BRFSS,Overall Health,Arthritis among older adults,Percentage of older adults ever told they have arthritis,,%,PRCTG,Percentage,46.6,46.6,,,33.9,59.6,,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic",,,POINT (-111.7638113 34.86597028),C01,TOC11,Q43,,04,AGE,AGE_OVERALL,RACE,BLK,,,,193
,2020,2020,AL,Alabama,BRFSS,Screenings and Vaccines,Influenza vaccine within past year,Percentage of older adults who reported influenza vaccine within the past year,,%,PRCTG,Percentage,56.2,56.2,,,53.5,58.8,,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic",,,POINT (-86.63186076 32.84057112),C03,TSC08,Q18,,01,AGE,AGE_OVERALL,RACE,WHT,,,,194
,2020,2020,AK,Alaska,BRFSS,Overall Health,Fall with injury within last year,Percentage of older adults who have fallen and sustained an injury within last year,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",,,POINT (-147.722059 64.84507996),C01,TOC06,Q05,,02,AGE,65PLUS,RACE,BLK,,,,195
,2019,2019,AK,Alaska,BRFSS,Nutrition/Physical Activity/Obesity,No leisure-time physical activity within past month,Percentage of older adults who have not had any leisure time physical activity in the past month,,%,PRCTG,Percentage,21.5,21.5,,,15.8,28.7,,Age Group,50-64 years,Gender,Male,,,POINT (-147.722059 64.84507996),C02,TNC03,Q16,,02,AGE,5064,GENDER,MALE,,,,196
,2020,2020,AK,Alaska,BRFSS,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,,,POINT (-147.722059 64.84507996),C04,TAC03,Q21,,02,AGE,AGE_OVERALL,RACE,ASN,,,,197
,2017,2017,AZ,Arizona,BRFSS,Smoking and Alcohol Use,Binge drinking within past 30 days,Percentage of older adults who reported binge drinking within the past 30 days,,%,PRCTG,Percentage,5.2,5.2,,,2.9,9,,Age Group,65 years or older,Race/Ethnicity,Hispanic,,,POINT (-111.7638113 34.86597028),C04,TAC03,Q21,,04,AGE,65PLUS,RACE,HIS,,,,198
,2017,2017,AZ,Arizona,BRFSS,Screenings and Vaccines,Cholesterol checked in past 5 years,Percentage of older adults who had a cholesterol screening within the past 5 years,,%,PRCTG,Percentage,95.8,95.8,,,94.6,96.8,,Age Group,65 years or older,Gender,Male,,,POINT (-111.7638113 34.86597028),C03,TSC06,Q14,,04,AGE,65PLUS,GENDER,MALE,,,,199
,2018,2018,AZ,Arizona,BRFSS,Overall Health,Oral health:  tooth retention,Percentage of older adults who report having lost 5 or fewer teeth due to decay or gum disease,,%,PRCTG,Percentage,66.4,66.4,,,53.4,77.3,,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,,,POINT (-111.7638113 34.86597028),C01,TOC05,Q07,,04,AGE,5064,RACE,NAA,,,,200
,2016,2016,AL,Alabama,BRFSS,Screenings and Vaccines,Up-to-date with recommended vaccines and screenings - Women,Percentage of older adult women who are up to date with select clinical preventive services,,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,,Age Group,50-64 years,Race/Ethnicity,Hispanic,,,POINT (-86.63186076 32.84057112),C03,TSC11,Q11,,01,AGE,5064,RACE,HIS,,,,201
